time;open;high;low;close
2024-08-30;59385.5;59899.0;57755.0;59105.0
2024-08-31;59110.0;59443.0;58736.9;58972.3
2024-09-01;58972.3;59026.7;57210.0;57321.2
2024-09-02;57318.5;59388.0;57124.2;59128.6
2024-09-03;59128.7;59773.0;57406.4;57497.6
2024-09-04;57482.4;58508.0;55617.7;57970.0
2024-09-05;57970.1;58285.9;55601.5;56163.9
2024-09-06;56163.9;56964.1;52569.0;53948.3
2024-09-07;53948.3;54810.2;53739.0;54146.4
2024-09-08;54146.5;55317.6;53636.6;54856.8
2024-09-09;54856.9;58050.8;54580.3;57062.7
2024-09-10;57062.7;58000.0;56440.2;57630.0
2024-09-11;57630.0;57990.0;55548.1;57350.6
2024-09-12;57350.7;58546.4;57339.0;58133.1
2024-09-13;58133.4;60657.4;57658.3;60581.0
2024-09-14;60581.1;60650.0;59478.3;60000.1
2024-09-15;60000.2;60350.0;58679.1;59135.1
2024-09-16;59135.1;59176.7;57488.7;58197.2
2024-09-17;58197.3;61300.0;57619.9;60317.2
2024-09-18;60317.1;61777.7;59164.6;61777.7
2024-09-19;61777.7;63840.0;61599.2;62922.1
2024-09-20;62922.2;64087.0;62373.3;63210.2
2024-09-21;63210.3;63539.5;62801.0;63376.1
2024-09-22;63376.1;64000.0;62440.6;63615.2
2024-09-23;63615.2;64777.3;62643.0;63332.4
2024-09-24;63332.4;64681.0;62739.4;64271.8
