datetime;open;high;low;close
2016-08-19 0:00;571.49;574.86;552.3;572.91
2016-08-20 0:00;572.98;581.02;568.52;577.88
2016-08-21 0:00;577.7;583.99;576.01;577.55
2016-08-22 0:00;577.55;585.95;572.5;582.78
2016-08-23 0:00;582.78;584.99;576;580.23
2016-08-24 0:00;580.27;582.1;575.4;577.58
2016-08-25 0:00;577.65;578.75;571.16;575.71
2016-08-26 0:00;575.75;582.46;574.1;578.78
2016-08-27 0:00;577.92;579.09;564.81;568.31
2016-08-28 0:00;567.51;573.34;566.8;573.2
2016-08-29 0:00;573.2;575;568.6;571.5
2016-08-30 0:00;570.74;576.5;568.55;575.91
2016-08-31 0:00;575.91;576.49;568.4;570.75
2016-09-01 0:00;570.75;572.86;566.86;571.05
2016-09-02 0:00;571.05;574.2;567.03;572
2016-09-03 0:00;572;598.64;569.01;595.01
2016-09-04 0:00;596.25;609.05;590.88;603.72
2016-09-05 0:00;605.72;607.31;592.46;603.48
2016-09-06 0:00;604.98;609.74;601;608.16
2016-09-07 0:00;608.93;615.92;604.7;615.16
2016-09-08 0:00;614.3;628.98;611.66;625.67
2016-09-09 0:00;625.67;627.49;612.93;622.01
2016-09-10 0:00;622.01;625;618.67;621.65
2016-09-11 0:00;621.65;628.99;594.63;606.32
2016-09-12 0:00;604.08;609.15;602;608.04
2016-09-13 0:00;606.4;609.61;603.28;607.46
2016-09-14 0:00;607.45;610.69;605.98;608.5
2016-09-15 0:00;608.5;608.99;602.3;606.71
2016-09-16 0:00;606.65;608.99;603.5;605.69
2016-09-17 0:00;605.69;607.59;601.1;604.1
2016-09-18 0:00;602.93;609.06;601.97;608
2016-09-19 0:00;608;609.5;603;608.72
2016-09-20 0:00;608.72;608.88;600.94;600.94
2016-09-21 0:00;600.85;601.01;592.1;595.46
2016-09-22 0:00;595.46;596.42;592.5;595.41
2016-09-23 0:00;595.42;602.9;593;601.42
2016-09-24 0:00;600.47;603.59;597.76;599.33
2016-09-25 0:00;600.05;601.99;596;598.98
2016-09-26 0:00;598.95;607.27;596.1;606.47
2016-09-27 0:00;606.7;608.37;600.02;604.26
2016-09-28 0:00;605.07;605.3;601.41;603.95
2016-09-29 0:00;603.95;605.99;601;605.6
2016-09-30 0:00;605.59;608.39;603.15;608.23
2016-10-01 0:00;608.23;614.28;608.23;612.98
2016-10-02 0:00;612.98;613;605;608.6
2016-10-03 0:00;608.6;612.98;606.6;611.16
2016-10-04 0:00;612.84;612.84;604.99;607.19
2016-10-05 0:00;607.19;612;605.76;608.49
2016-10-06 0:00;608;610.5;607.09;610.25
2016-10-07 0:00;610.25;616.34;607.52;614.88
2016-10-08 0:00;614.88;616.99;612.5;614.34
2016-10-09 0:00;614.34;614.98;610;613.06
2016-10-10 0:00;613.06;616.47;612.12;616
2016-10-11 0:00;616.37;639;614.56;639
2016-10-12 0:00;638.3;640;628.76;634.5
2016-10-13 0:00;634.5;636;630;634.02
2016-10-14 0:00;635.16;639.99;630.45;638.2
2016-10-15 0:00;638.2;642;635.25;635.96
2016-10-16 0:00;635.96;641.4;635.18;638.97
2016-10-17 0:00;638.97;639.99;632.1;636.91
2016-10-18 0:00;636.91;637.8;631.52;635.95
2016-10-19 0:00;635.95;638.04;624.13;627.98
2016-10-20 0:00;627.84;630.22;625;628.89
2016-10-21 0:00;628.05;632.36;627.5;629
2016-10-22 0:00;628.99;656;628.57;654.52
2016-10-23 0:00;654.52;656;647.51;648.74
2016-10-24 0:00;648.74;652.25;640;648.6
2016-10-25 0:00;649.03;657.58;643;651.97
2016-10-26 0:00;651.78;677;651;675.11
2016-10-27 0:00;675;685.89;665.59;684.71
2016-10-28 0:00;684.72;687.23;677.05;685.91
2016-10-29 0:00;685.91;717.99;684.89;711.13
2016-10-30 0:00;711.1;711.78;691.49;697.23
2016-10-31 0:00;697.23;706.97;683.6;697.01
2016-11-01 0:00;697.04;737;695.38;726.6
2016-11-02 0:00;726.6;742;717.32;742
2016-11-03 0:00;742;745.19;670.32;685.22
2016-11-04 0:00;684.84;707.67;681;702.7
2016-11-05 0:00;702.95;707.34;694.71;703.46
2016-11-06 0:00;703.33;714.36;697.92;709.93
2016-11-07 0:00;709.92;709.92;698.26;702.86
2016-11-08 0:00;702.86;712.92;701.02;709.31
2016-11-09 0:00;708.17;740.86;705.45;721.5
2016-11-10 0:00;721.5;722;707;714.47
2016-11-11 0:00;714.48;720.94;712.24;716.39
2016-11-12 0:00;716.39;716.39;701;702.28
2016-11-13 0:00;701.17;702.89;683.23;700.38
2016-11-14 0:00;700.38;705.89;697.14;703.82
2016-11-15 0:00;704.98;716.54;703.05;711.06
